tconst,averageRating,numVotes
tt0000009,5.3,206
tt0000147,5.3,482
tt0000502,4.1,15
tt0000574,6.0,846
tt0000591,4.4,20
tt0000615,4.3,25
tt0000630,2.8,26
tt0000675,4.2,20
tt0000679,5.1,68
tt0000862,4.4,17
tt0000886,4.7,40
tt0000941,4.5,27
tt0001010,4.2,15
tt0001028,4.1,18
tt0001038,3.7,22
tt0001049,4.2,18
tt0001101,4.7,38
tt0001112,3.8,44
tt0001113,5.1,17
tt0001115,4.3,19
tt0001116,4.6,19
tt0001122,5.4,20
tt0001159,5.6,29
tt0001175,5.1,42
tt0001184,3.8,21
tt0001230,5.0,30
tt0001240,3.8,22
tt0001277,4.4,25
tt0001285,5.4,59
tt0001338,5.2,18
tt0001348,4.0,12
tt0001353,5.0,13
tt0001364,6.2,12
tt0001370,5.3,25
tt0001379,4.6,12
tt0001386,4.3,19
tt0001440,4.7,22
tt0001475,7.5,21
tt0001498,7.8,14
tt0001530,5.4,18
tt0001531,4.6,15
tt0001586,3.7,19
tt0001592,6.0,25
tt0001614,6.3,38
tt0001630,6.2,36
tt0001648,4.2,8
tt0001706,4.3,18
tt0001712,4.6,8
tt0001790,6.0,52
tt0001803,3.0,12
tt0001812,5.5,14
tt0001889,4.0,15
tt0001892,5.8,252
tt0001911,3.6,24
tt0001964,5.9,91
tt0001993,4.1,22
tt0001998,4.4,38
tt0002022,6.0,13
tt0002026,4.5,15
tt0002031,4.1,24
tt0002046,3.5,8
tt0002101,5.1,569
tt0002130,7.0,3234
tt0002153,5.9,77
tt0002186,6.5,134
tt0002199,5.8,621
tt0002220,4.0,45
tt0002262,5.4,12
tt0002305,7.6,29
tt0002375,5.7,12
tt0002395,4.9,12
tt0002405,5.0,41
tt0002406,4.6,26
tt0002423,6.6,965
tt0002431,5.2,13
tt0002445,6.1,412
tt0002452,6.4,261
tt0002461,5.7,303
tt0002474,6.4,11
tt0002500,6.0,22
tt0002514,4.9,18
tt0002555,4.5,47
tt0002556,5.7,23
tt0002574,6.4,32
tt0002588,5.9,46
tt0002591,6.2,10
tt0002605,5.5,45
tt0002628,5.5,105
tt0002637,7.2,18
tt0002642,5.6,9
tt0002646,6.5,455
tt0002669,6.7,39
tt0002739,2.6,10
tt0002767,5.5,68
tt0002785,6.0,8
tt0002801,5.5,27
tt0002822,4.0,47
tt0002832,6.8,23
tt0002844,6.9,2417
tt0002885,5.9,113
